13,,,ESCUELA NACIONAL COMERCIO Nº 2,,SAN ROQUE,ASUNCIÓN,URBANA,,4,600,E.M.,3,ESSAP,ANDE,M.E.C.,SI,DÉFICIT - NECESIDAD DE BAÑO SEXADO,CAPITAL,0
31,,,ESC. BASNº 55. TRIFON MONGES,55,CNEL. MARTINEZ,CNEL MARTINEZ,RURAL,,R3,430,"1º CICLO , E.M.",6,POZO ARTESIANO,ANDE,M.E.C.,SI,CUENTAN CON LETRINA,GUAIRA,4
3,,,CENTRO EDUCATIVO Nº 57,57,SANTA ROSA,SAN JOSÉ,URBANA,,R2,120,N.M,2,CORPOSANA,ANDE,SI,SI,CUENTA CON 4 SEMESTRES Y LA INSTITUCIÓN NO CUENTA CON SANITARIOS,MISIONES,8
2,1702011,8439,ESC. Nº 96 ALEJO GARCÍA,96,CARMELO PERALTA,PTO LA ESPERANZA,URBANA,,2,122,E.I. Y EB,3,SENASA,ANDE,MUNICIPAL,SI,SOLO CUENTA CON LETRINA,ALTO PARAGUAY,17
130,,,SEDE TUTORIAL BACHILLER DE EDUC.MEDIA PARA  JÓVENES Y ADULTOS Nº 128,128,ATYRA,Bº LAS MERCEDES,URBANA,,1,73,E.P.,3,SI,SI,SI,SI,LOS SANITARIOS SON COMPARTIDOS CON LOS ALUMNOS DE LA EDUC. ESC. BÁSICA,CORDILLERA,3
106,,,CENTRO N° 149 EM,149,ACAHAY,15 DE AGOSTO,URBANA,,R1,40,C.E.J.A,2,SENASA,ANDE,M.E.C.,SI,AUMENTO POBLACIONAL,PARAGUARI,9
96,212001,1981,"ESCUELA EXTENSIVA DE ESC. BÁS. Nº 178 ""EMILIO G. ZELADA""",178,25 DE DICIEMBRE,SAN ISIDRO LABRADOR,RURAL,SAN ISIDRO LABRADOR,7,39,E.E.B.,3,POZO COMÚN,ANDE,EN GESTIÓN,SI,CUENTA SOLO CON LETRINA COMÚN Y EN MAL ESTADO,SAN PEDRO SUR,2
22,,,ESC. BÁS. N° 214 MCAL. FRANCISCO SOLANO LÓPEZ,214,EUSEBIO AYALA,Bº GRAL CABALLERO,RURAL,,2,530,"1°,  2° Y 3° CICLO E.E.B",7,ESSAP,ANDE,M.E.C.,SI,NO ABASTECE A LA CANTIDAD DE ALUMNOS,CORDILLERA,3
30,,10616,ESC. BÁSICA Nº 445 ISABEL PAREDES CHÁVEZ,445,CONCEPCIÓN,PASO BARRETO,RURAL,,2,41,E.I. E.E.B,1,SENASA,ANDE,M.E.C.,SI,E.I. NO CUENTA CON SANITARIO PROPIO,CONCEPCION,1
16,,,ESC. BÁS. Nº 514 STELLA MARIS,514,CONCEPCION,CHACO.I,RURAL,,1,93,E.I Y E.E.B,3,AGUA DE RIO,ANDE,EN GESTIÓN,,COMPARTEN CON LOS OTROS GRADOS,CONCEPCION,1
