14,,,ESC.ESPECIAL Nº 11,11,PJC,SAN ANTONIO,URBANA,          -,1,12,EDUC. ESPECIAL,AULAS,1,1,MEJORA DE TECHO Y ADECUACION DE ESPACIO,AMAMBAY,13
17,214008,2052,ESC. BÁS Nº 41 28 SAN FRANCISCO DE ASIS,41,GRAL. RESQUÍN,CRUCE SAN VICENTE,URBANA,SAN VICENTE,8,190,E.B.B.,AULAS,3,_,NECESIDAD ,SAN PEDRO,2
123,7525,17657,ESC. BÁS. N° 87 JUAN DE LA CRUZ GAONA ,87,AREGUÁ,VALLE PUCU,URBANA,--------------------------,R3,950,"1°,2°,3° CICLO E.B.B.",TEJADO,250M,-,"TECHO TOTALMENTE DAÑADO, POR GRANIZO Y POR HABER CUMPLIDO SU VIDA UTIL",CENTRAL,11
5,1702011,8439,ESC. BÁS. Nº 96 ALEJO GARCÍA,96,CARMELO PERALTA,PTO LA ESPERANZA,URBANA,,2,122,E.I. Y EB 1º Y 2º C,"AULAS,DIRECCIÓN",,,DETERIORO DE TECHO Y PINTURA,ALTO PARAGUAY,17
8,,19096,ESC.BAS. Nº 98 LEOPOLDINAS B. CANELLAS,98,PUERTO PINASCO,PINASCO,RURAL,PINASCO,3,251,E.I - E.E.B Y 1º Y 2º C,AULAS,2,,REPARACION DE TECHO,PDTE. HAYES,15
38,,,"ESC. BÁS. Nº 106 ""MCAL. LÓPEZ"" ",106,CAPITÁN BADO,—,RURAL,CNIA. MCAL. LÓPEZ 2ª SECCIÓN,3,160,1º Y 2º CICLOS E.B.B.,AULAS,9,  -,POR ATENTAR CONTRA LA VIDA DE ALUMNOS Y PROFESORES,AMAMBAY,13
61,,,ESC. BAS Nº 187 PADRE JTA. DR. LORENZO SÁNCHEZ LABRADOR Y HERNÁNDEZ,187,BELÉN,SALVADOR DEL MUNDO,URBANA,-,3,280,"E.I., EEB, 1º, 2º CICLOS","AULAS, DIRECIÓN, BIBLIOTECA",9,9,POR DETERIORO,CONCEPCION,1
59,,,ESC. BÁS. Nº 223 PROF. JOSÉ D. BURGOS,223,PIRIBEBUY,CÑIA. PDTE.FRANCO,RURAL,-,3,140,"E.I. 1º,2º,3º CICLOS  ",AULAS,3,-,"DETERIORO DE PISO, TECHO Y PINTURA",CORDILLERA,3
228,1106025,17672,ESC. BÁS. N° 249 DON FRANCISCO CABRAL,249,ITAUGUA,ITAUGUA GUAZU,URBANA,--------------------------,R4,750,E.E.B.,AULAS,3,3,"GOTERAS EN EL TECHO, DETERIORO DE LAS PAREDES Y PISOS",CENTRAL,11
142,,,ESC. BÁS. Nº 255 HÉROES DEL CHACO,255,MBOCAYATY,CENTRO,URBANA,-,2,304,"E.I. 1º,2º E.E.B.",AULAS,6,,"DETERIORO DE TECHO, PARED Y PISO",CORDILLERA,3
55,1117009,17693,ESC. BÁS. N° 364 SAN ISIDRO LABRADOR,364,YPACARAÍ,JHUGUA JHU,URBANA,--------------------------,R6,80,E.B.B.,AULAS,3,3,"LA INSTITUCION NECESITA REFACCIÓN DE LAS PAREDES CON RAJADURAS, DETERIORO DE LA PINTURA Y EL PISO",CENTRAL,11
6,7518,17659,ESC. BÁS. N° 413 DON CARLOS A. LÓPEZ,413,AREGUÁ,CAACUPEMI,URBANA,--------------------------,R3,112,"NIVEL INICIAL, 2° CICLO E.B.B.",AULAS,4,-,"REPARACION DE TECHO, PINTURA DE PARED, CAMBIO DE LA INSTALACION ELECTRICA",CENTRAL,11
66,,,ESC. BÁC. N° 431 JUAN PEREIRA ,431,ISLA PUCÚ,,URBANA,-,2,125,1° Y 2° CICLO E.B.B.,AULAS,3,-,"OCASIONA PELIGRO PARA LOS NIÑOS, NECESITA REPARACIÓN DE TECHOS Y PAREDES ",CORDILLERA,3
14,9930,29503,ESC BAS. N°. 483 GRAL. JOSÉ MARÍA BRUGUEZ,483,GRAL. BRUGUEZ,GRAL. BRUGUEZ,RURAL,,R.1,118,E.E.B,,,6,REPARACIÓN DE INFRAESTRUCTURA,PDTE. HAYES,15
71,7520,17660,ESC. BÁS. N° 671 PROF. CANTALICIO FRANCO TORRES,671,AREGUÁ,COSTA FLEYTAS,URBANA,--------------------------,R3,299,"1°,2°, CICLO E.B.B.",AULAS,-,8,COLOCACIO DE REJAS EN LAS VENTANAS POR INSEGURIDAD,CENTRAL,11
135,7520,17660,ESC. BÁS. N° 671 PROF. CANTALICIO FRANCO TORRES,671,AREGUÁ,COSTA FLEYTAS,URBANA,--------------------------,R3,299,"1°,2°, CICLO E.B.B.",PISO,7,-,POR DETERIORO,CENTRAL,11
1,9992,19527,ESC. BAS. N°. 752 VALOIS RIVAROLA ,752,TTE. ESTEBAN MARTÍNEZ,TTE. ESTEBAN MARTÍNEZ,RURAL,,R.1,130,E.E.B,AULAS,7,_,REPARACIÓN DE ALJIBE,PDTE. HAYES,15
83,,, Nº 961 CNEL. D.E.M. JOSÉ MARIA ARGAÑA  ,961,CAPITÁN MEZA,KM. 16,RURAL,,R2 Z2,16,E.B.B.,AULAS,1,,ACTUALMENTE LA SALA QUE ESTAN UTILIZANDO SE ENCUENTRA CON VARIOS DESPERFECTOS : PAREDES QUE ESTAN QUEBRADAS DESDE EL TECHO ASTA EL PISO Y QUE CONSTITUYE UN PELIGRO CONSTANTE. PISO DETERIORADOS Y POCA VISIVILIDAD E ILUMINACIÓN SON TAMBIEN ALGUNAS CAUSALES DE PERDIDAS DE CLASE EN DIAS NUBOSO O CON LLUVIAS ,ITAPUA,7
35,512017,3939,ESCUELA BASICA Nº 987 REINO DE HOLANDA,987,DR.J E ESTIGARRIBIA,MARACANA,URBANA,_,5,170,E.B.B.,AULAS,6,_,PARA SER REPARADA LAS AULAS PORQUE  ATENTA CONTRA LA VIDA DE LOS ALUMNOS Y EL TECHO PRESENTA MAL ESTADO,CAAGUAZU,5
7,,,ESCUELA BÁSICA Nº 1.008 GRAL. BERNARDINO CABALLERO,1008,SANTÍSIMA TRINIDAD,ASUNCIÓN,URBANA,-,2,300,E.B.B.,AULAS,3,3,MEJORAR LOS ASPECTOS ESTÉTICOS DE LA CONSTRUCCIÓN,CAPITAL,0
222,1106013,17674,ESC. BÁS. N° 1019 ESPIRITU SANTO,1019,ITAUGUA,CÑIA. POTRERO,URBANA,--------------------------,R4,35,E.E.B.,DIRECCIÓN,1,,"POR MEJORAR LOS ASPECTOS ESTETICOS, DETERIORO DE PISOS",CENTRAL,11
240,1106013,17674,ESC. BÁS. N° 1019 ESPIRITU SANTO,1019,ITAUGUA,CÑIA. POTRERO,URBANA,--------------------------,R4,35,E.E.B.,BIBLIOTECA,1,,"POR MEJORAR LOS ASPECTOS ESTETICOS, DETERIORO DE PISOS",CENTRAL,11
242,1106013,17674,ESC. BÁS. N° 1019 ESPIRITU SANTO,1019,ITAUGUA,CÑIA. POTRERO,URBANA,--------------------------,R4,35,E.E.B.,AULAS,4,,"POR MEJORAR LOS ASPECTOS ESTÉTICOS, DETERIORO DE LA PINTURA",CENTRAL,11
