35,,,SEDE TUTORIAL Nº 11,11,YBYCUÍ,Bº SGDO C. DE JESÚS,URBANA,,4,85,E.M.J.A.,3,3,EN PRECARIA CONDICIONES,PARAGUARI,9
39,,,ESC. BÁS. N° 72 GRAL. BERNARDINO CABALLERO,72,YBYCUÍ,SAN JOSÉ,UBRBANA,,R4,300,E.E.B,1,1,POR LA CANTIDAD DE ALUMNOS CON QUER CUENTA LA INSTITUCIÓN Y POR EL DETERIORO DEL SANITARIO QUE TIENE MÁS DE 30 AÑOS DE CONSTRUCCIÓN,PARAGUARI,9
42,7525,17657,ESC. BÁS. N° 87 JUAN DE LA CRUZ GAONA ,87,AREGUÁ,VALLE PUCU,URBANA,,R3,500,1° Y 2° CICLO E.E.B,6,-,SE HAN HECHO ALGUNOS ARREGLOS PERO NO FUERON SUFICIENTES PARA CUBRIR LA DEMANDA,CENTRAL,11
183,0,17774,ESC. BÁS. N° 110 CAP. BERNARDINO CABALLERO ALVAREZ,110,LUQUE,2DO BARRIO – JOSE C. ORTIZ E/  FULGENCIO R. MORENO Y MANUEL ORTIZ GUERRERO,URBANA,,R2,1300,N1,4,4,PERDIDA DE VIDA UTIL, DEL BAÑO EXISTENTE,Central
40,021 2001,1 981,"ESC. BÁSICA Nº 178 ""EMILIO G. ZELADA""",178,25 DE DICIEMBRE,25 DE DICIEMBRE,RURAL,,7,240,E.E.B.,7,,EN DETERIORO,SAN PEDRO,2
20,,,ESC. BAS. Nº 187 PADRE JTA. DR. FRANCISCO SÁNCHEZ LABRADOR Y HERNÁNDEZ,187,BELÉN,SALVADOR DEL MUNDO,URBANA,-,3,280,"E.I, E.E.B, 1ºY2º CICLOS",3,3,POR MEJORAR LA SALUD,CONCEPCION,1
78,1106025,17672,ESC. BÁS. N° 249 DON FRANCISCO CABRAL,249,ITAUGUA,ITAUGUA GUAZU,URBANA,R4,--------------------------,909,COMPARTIDO,9,,"LOS SANITARIOS SE ENCUENTRAN EN MALAS CONDICIONES, NECESITAN UNA REPARACION GENERAL",CENTRAL,11
154,1106025,17672,ESC. BÁS. N° 249 DON FRANCISCO CABRAL,249,ITAUGUA,ITAUGUA GUAZU,URBANA,,R4,909,COMPARTIDO,9,,"LOS SANITARIOS SE ENCUENTRAN EN MALAS CONDICIONES, NECESITAN UNA REPARACION GENERAL",CENTRAL,11
42,,,ESC. BÁS. Nº 255 HEROES DEL CHACO,255,MBOCAYATY,BIO CENTRICO,URBANA,-,2,304,"E.I.,1ºY2°  CICLO E.E.B.",4,1,ILUMINACIÓN Y ACCESORIOS SANITARIOS,CORDILLERA,3
2,,,ESC. N° 374 BEATO ROQUE GONZALEZ DE SANTACRUZ,374,E.A. GARAY,KM 22,URBANA,-,1,190,E.E.B 1° AL 3° CICLO,4,4,"TECHO, PISO, ELECTRICIDAD Y PLOMERIA EN MAL ESTADO",GUAIRA,4
10,7518,17659,ESC. BÁS. N° 413 DON CARLOS A. LÓPEZ,413,AREGUÁ,CAACUPEMI,URBANA,,R3,986,"1°,2°,3° CICLO E.E.B",7,7,CLAUSURA DE 7 SANITARIOS POR LAS MALAS CONDICIONES EN QUE SE ENCUENTRAN,CENTRAL,11
19,,,ESC. B. N° 439 TTE. ELIGIO MONTANÍA,439,VALENZUELA,B° VIRGEN DEL C.,URBANA,-,3,86,"E.E.B 1°,2° C",,-,DETERIORO DE LAS INSTALACIONES DE PLOMERIA Y LA ESTÉTICA. ,CORDILLERA,3
21,,,ESC. BAS. Nº 17744 DON EUSTAQUIO ROJAS ,17744,BELÉN,LEMÓ,RURAL,-,3,157,E.E.B,1,-,REPARACIÓN DE CAÑERIAS,CONCEPCION,1
134,1106016,17674,ESC. BÁS. N° 606 ITAUGUA POTY,606,ITAUGUA,CÑIA. MBOI' Y,URBANA,,R4,1200,E.E.B.,6,6,POZO CIEGO INADECUADO CON PROBABILIDAD DE HUNDIMIENTO,CENTRAL,11
20,13016,0,ESC. BÁS. N° 617 ESC. BÁS.  VIRGEN STELLA MARIS,617,LAMBARÉ,ITA ENRAMADA,URBANA,,R2,326,1,6,,SANITARIOS EN CONDICIONES LAMENTABLES,CENTRAL,11
11,,,ESC. BÁS. N° 689  WENCESLAA ESCALADA,689,C. OVIEDO,CENTRO,URBANA,0,1,930,"1°,2°,3° CICLO",1,0,REPARACIÓN DE CAÑERIA,CAAGUZU,5
15,,,"ESC.BAS.N° 798 ""MADAME LYNCH""",798,AYOLAS,ISLA YACYRTÁ,RURAL,-,3,146,INICIAL Y E.E.B,4,-,"4 DE LOS SANITARIOS NECESITAN REPARACION DE CAÑERIAS, TUBOS, COEXIONES,,CLOACA",MISIONES,8
126,0,17788,ESC. BÁS. N° 913 EPIFANIO MENDEZ FLEITAS ,913,LUQUE,AVDA. GRAL DE DIV. MANUEL BRITEZ BORGES Y LORENZO ZEBALLOS,URBANA,,R2,857,E.E.B -E.M Y E P,2,,ELDETERIODO PROGRESIVO POR LA CANTIDAD DE ALUMNOS QUE UTILIZAN EL SERVICIO(E.E.B, E.M Y E.P),Central
